       200       231          # No. of minima already found, no. of minima to be found in consecutive run
  0.300000E-02  0.150000E+00  # delta_enthalpy, delta_fingerprint
00001 -0.82586987236996681E+01 -0.82586987236996681E+01     1     8   0.0000000E+00  0.0000000E+00
00002 -0.81588397948016400E+01 -0.81588397948016400E+01     1     8   0.0000000E+00  0.0000000E+00
00003 -0.81506519519212137E+01 -0.81506519519212137E+01     1     8   0.0000000E+00  0.0000000E+00
00004 -0.81470537496025219E+01 -0.81470537496025219E+01     1     8   0.0000000E+00  0.0000000E+00
00005 -0.81377938918480393E+01 -0.81377938918480393E+01     2     8   0.0000000E+00  0.0000000E+00
00006 -0.81321169511808584E+01 -0.81321169511808584E+01     1     2   0.0000000E+00  0.0000000E+00
00007 -0.81238519215864766E+01 -0.81238519215864766E+01     1     8   0.0000000E+00  0.0000000E+00
00008 -0.81161065376232351E+01 -0.81161065376232351E+01     1     6   0.0000000E+00  0.0000000E+00
00009 -0.81093589395025241E+01 -0.81093589395025241E+01     1     8   0.0000000E+00  0.0000000E+00
00010 -0.81037221592106938E+01 -0.81037221592106938E+01     3     1   0.0000000E+00  0.0000000E+00
00011 -0.81006686408705377E+01 -0.81006686408705377E+01     2     1   0.0000000E+00  0.0000000E+00
00012 -0.80933601979656711E+01 -0.80933601979656711E+01     2     8   0.0000000E+00  0.0000000E+00
00013 -0.80885018969793148E+01 -0.80885018969793148E+01     6     6   0.0000000E+00  0.0000000E+00
00014 -0.80851248805122449E+01 -0.80851248805122449E+01     2     8   0.0000000E+00  0.0000000E+00
00015 -0.80816526478182791E+01 -0.80816526478182791E+01     5     1   0.0000000E+00  0.0000000E+00
00016 -0.80748792300651218E+01 -0.80748792300651218E+01     3     1   0.0000000E+00  0.0000000E+00
00017 -0.80658681026101142E+01 -0.80658681026101142E+01     1     8   0.0000000E+00  0.0000000E+00
00018 -0.80599578862735246E+01 -0.80599578862735246E+01     1     8   0.0000000E+00  0.0000000E+00
00019 -0.80492778836639385E+01 -0.80492778836639385E+01     2     1   0.0000000E+00  0.0000000E+00
00020 -0.80439659991537287E+01 -0.80439659991537287E+01     4     1   0.0000000E+00  0.0000000E+00
00021 -0.80403040005680548E+01 -0.80403040005680548E+01     3     8   0.0000000E+00  0.0000000E+00
00022 -0.80312648077654991E+01 -0.80312648077654991E+01     1     8   0.0000000E+00  0.0000000E+00
00023 -0.80268302961245297E+01 -0.80268302961245297E+01     7     1   0.0000000E+00  0.0000000E+00
00024 -0.80236236049491190E+01 -0.80236236049491190E+01     2     2   0.0000000E+00  0.0000000E+00
00025 -0.80177201137419516E+01 -0.80177201137419516E+01    10     1   0.0000000E+00  0.0000000E+00
00026 -0.80107049251829565E+01 -0.80107049251829565E+01     1     8   0.0000000E+00  0.0000000E+00
00027 -0.80062164475251780E+01 -0.80062164475251780E+01     1     8   0.0000000E+00  0.0000000E+00
00028 -0.80023870924318068E+01 -0.80023870924318068E+01     1     8   0.0000000E+00  0.0000000E+00
00029 -0.79985933548979222E+01 -0.79985933548979222E+01     3     8   0.0000000E+00  0.0000000E+00
00030 -0.79915311312029296E+01 -0.79915311312029296E+01     5     6   0.0000000E+00  0.0000000E+00
00031 -0.79882869243912076E+01 -0.79882869243912076E+01     2     8   0.0000000E+00  0.0000000E+00
00032 -0.79821995085408890E+01 -0.79821995085408890E+01     2     1   0.0000000E+00  0.0000000E+00
00033 -0.79786086240117058E+01 -0.79786086240117058E+01     3     8   0.0000000E+00  0.0000000E+00
00034 -0.79750468877465632E+01 -0.79750468877465632E+01     5     1   0.0000000E+00  0.0000000E+00
00035 -0.79679403728904932E+01 -0.79679403728904932E+01     4     1   0.0000000E+00  0.0000000E+00
00036 -0.79644682462059739E+01 -0.79644682462059739E+01     1    41   0.0000000E+00  0.0000000E+00
00037 -0.79595558085920199E+01 -0.79595558085920199E+01     1     8   0.0000000E+00  0.0000000E+00
00038 -0.79561743442164010E+01 -0.79561743442164010E+01    10     2   0.0000000E+00  0.0000000E+00
00039 -0.79516856959706272E+01 -0.79516856959706272E+01     2     1   0.0000000E+00  0.0000000E+00
00040 -0.79463472954742285E+01 -0.79463472954742285E+01     2     8   0.0000000E+00  0.0000000E+00
00041 -0.79425712064577798E+01 -0.79425712064577798E+01     5     1   0.0000000E+00  0.0000000E+00
00042 -0.79391341014947523E+01 -0.79391341014947523E+01     1     8   0.0000000E+00  0.0000000E+00
00043 -0.79322110524068856E+01 -0.79322110524068856E+01     5     1   0.0000000E+00  0.0000000E+00
00044 -0.79266243502048885E+01 -0.79266243502048885E+01     4     8   0.0000000E+00  0.0000000E+00
00045 -0.79214768428256965E+01 -0.79214768428256965E+01     3     1   0.0000000E+00  0.0000000E+00
00046 -0.79152919492905172E+01 -0.79152919492905172E+01     6     8   0.0000000E+00  0.0000000E+00
00047 -0.79104489122320452E+01 -0.79104489122320452E+01     4     2   0.0000000E+00  0.0000000E+00
00048 -0.79059465060369876E+01 -0.79059465060369876E+01     2     1   0.0000000E+00  0.0000000E+00
